"game_name","game_url","game_review","game_age"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
"Overwatch","https://www.commonsensemedia.org/game-reviews/overwatch","Fantastic, frantic shooter with some violence, open chat.","age 14+"
"The Legend of Zelda: Breath of the Wild","https://www.commonsensemedia.org/game-reviews/the-legend-of-zelda-breath-of-the-wild","Vast adventure with some combat rewards logical thinking.","age 10+"
"Forza Motorsport 7","https://www.commonsensemedia.org/game-reviews/forza-motorsport-7","Exceptional racing sim takes the checkered flag.","age 8+"
"Super Smash Bros. Ultimate","https://www.commonsensemedia.org/game-reviews/super-smash-bros-ultimate","Cartoonish brawler is largest one yet, and incredibly fun.","age 12+"
"Battlefield V","https://www.commonsensemedia.org/game-reviews/battlefield-v","Epic, violent WWII shooter targets soldiers' emotional toll.","age 17+"
"Call of Duty: Black Ops 4","https://www.commonsensemedia.org/game-reviews/call-of-duty-black-ops-4","Polished online shooter glamorizes intense graphic violence.","age 18+"
"Star Wars Jedi: Fallen Order","https://www.commonsensemedia.org/game-reviews/star-wars-jedi-fallen-order","Epic adventure is a ""Force"" to be reckoned with.","age 14+"
"Math Missions Grades 3-5","https://www.commonsensemedia.org/game-reviews/math-missions-grades-3-5","Excellent math game with fun premise.","age 8+"
"Mario Party 4","https://www.commonsensemedia.org/game-reviews/mario-party-4","Great game to have for a mixed group of kids.","age 8+"
"Cars 2: The Video Game","https://www.commonsensemedia.org/game-reviews/cars-2-the-video-game","Great combat racing, but loads of gunfire and explosions.","age 10+"
"Deus Ex: Human Revolution","https://www.commonsensemedia.org/game-reviews/deus-ex-human-revolution","Mature themes, violence accompany mech-enhanced humans RPG.","age 18+"
"Gears of War 3","https://www.commonsensemedia.org/game-reviews/gears-of-war-3","Explosive, violent, and gory finale to the sci-fi series.","age 18+"
"FIFA Soccer 12","https://www.commonsensemedia.org/game-reviews/fifa-soccer-12","One of the best (and best-looking) sports simulations.","age 8+"
"Forza Motorsport 4","https://www.commonsensemedia.org/game-reviews/forza-motorsport-4","Excellent racing sim that's easy to play but has open chat.","age 10+"
"The Elder Scrolls V: Skyrim","https://www.commonsensemedia.org/game-reviews/the-elder-scrolls-v-skyrim","Vast and violent RPG filled with moral choice and ambiguity.","age 15+"
"Rayman Origins","https://www.commonsensemedia.org/game-reviews/rayman-origins","Great multiplayer platforming romp with slapstick violence.","age 10+"
"Kingdoms of Amalur: Reckoning","https://www.commonsensemedia.org/game-reviews/kingdoms-of-amalur-reckoning","Bloody but magically remarkable RPG for mature gamers.","age 18+"
"Forza Horizon 2","https://www.commonsensemedia.org/game-reviews/forza-horizon-2","Outstanding driving game has some street-racing concerns.","age 10+"
"The Binding of Isaac: Rebirth","https://www.commonsensemedia.org/game-reviews/the-binding-of-isaac-rebirth","Bloody dungeon crawler pits abused boy against crazed mom.","age 18+"
"Halo: The Master Chief Collection","https://www.commonsensemedia.org/game-reviews/halo-the-master-chief-collection","Violent sci-fi ""greatest hits"" bundle loaded with features.","age 18+"
